date;playerId;realWorldCurrencySpent;ingameProductId;euroPrice;purchaseCount;matchWin;matchCount;mmr;accountAgeDays;appActiveTime;avgBill
05.02.2019;eccf3488-37a1-4987-a85c-ebb55253e3ad;18487;PP_EliteBattlePass;5.49;33;393;733;5507;641;69600;560.0
05.02.2019;29b73060-0dd1-4913-81e1-03b9a8f47790;26156;PP_ClubPass;4.49;24;3158;5340;7509;137;1080454;1089.0
05.02.2019;1d96d726-2cd0-42d8-9e0d-72a57f31a387;2574;PP_ClubPass;4.49;6;372;602;6127;610;69714;429.0
03.02.2019;ae9e2698-214c-4332-bd91-56bcbdf9e9b5;327;SoftСurrency_RealPrice_1;1.09;3;37;68;2470;26;5032;109.0
11.02.2019;a75998fe-0f1b-4008-8432-4df7f84fac6f;458;SoftСurrency_RealPrice_1;1.09;2;49;59;3355;534;12401;229.0
19.02.2019;330118bd-822e-4425-8953-c5a08ad771e0;549;PP_EliteBattlePass;5.49;1;3;3;300;0;1545;549.0
19.02.2019;f728cb0a-565a-4479-bc72-467fbc50b82e;2573;PP_EliteBattlePass;5.49;7;38;43;2760;0;21146;367.0
19.02.2019;b5ed953a-d679-47d8-bbe4-121e62094655;13120;SoftСurrency_RealPrice_1;1.09;20;186;306;5105;48;335895;656.0
17.02.2019;8eb02610-f722-4b0e-8e0e-6810eaf9b0ce;3188;HardСurrency_1;3.49;12;73;110;3537;742;3581;265.0
17.02.2019;8726a75d-5d3f-4d2c-b6df-9c7da873ee1f;3183;PP_ClubPass;4.49;7;50;65;3011;742;20410;454.0
13.02.2019;0dacf0be-b47f-4cc4-99b7-04ec900195a0;97114;SoftСurrency_RealPrice_1;1.09;156;1952;3767;6503;714;1980910;622.0
13.02.2019;3bde74ce-bbe1-4109-b72a-c1b2660442d0;12807;PP_EliteBattlePass;5.49;13;201;281;5869;22;118855;985.0
13.02.2019;321b0db9-d004-4d7a-9ab8-af8afce05476;449;PP_ClubPass;4.49;1;171;248;5632;572;94417;449.0
11.02.2019;3da44e4c-808c-4681-87d2-35a697b37cf6;898;PP_EliteBattlePass;5.49;2;71;108;4115;678;1254;449.0
12.02.2019;fcaf5f4c-f9c9-4ed9-88a4-ba549fbdaf72;2926;HardСurrency_1;3.49;4;50;65;3240;5;29128;731.0
01.02.2019;1065a820-1201-46fa-8a3c-4a9c676f752b;1014;SoftСurrency_RealPrice_1;1.09;6;84;102;4300;33;76797;169.0
14.02.2019;487c684f-a934-44a3-b471-d8d8b25f0130;349;HardСurrency_1;3.49;1;16;17;1440;0;6867;349.0
14.02.2019;4b757f67-f05d-4718-accf-0e53316fbfc8;79364;PP_EliteBattlePass;5.49;46;335;573;5622;128;65956;1725.0
14.02.2019;5b8c51bc-4071-411b-aff2-19d44b626c6f;1356;PP_EliteBattlePass;5.49;4;50;54;3365;4;22513;339.0
14.02.2019;d7348562-0be2-4ce4-9d08-49a244ca2b25;16804;PP_ClubPass;4.49;26;379;711;5585;534;300753;646.0
14.02.2019;4c2a9afe-58c8-4068-8ef8-c0ab7038c49e;2348;HardСurrency_1;3.49;2;9;9;857;730;264;1174.0
11.02.2019;c2e72caf-6b6a-4932-8afe-24da5e2f52f9;449;PP_ClubPass;4.49;1;0;0;0;0;150;449.0
03.02.2019;d40e53ac-99cc-4e96-b123-7b0c83600f3e;39344;PP_EliteBattlePass;5.49;36;890;1609;6808;306;508770;1092.0
03.02.2019;75880a78-0595-4345-86be-1074580f6f86;3480;PP_EliteBattlePass;5.49;10;254;431;5255;27;107033;348.0
11.02.2019;b4c2d130-5dd6-43b5-9280-516335003bba;218;SoftСurrency_RealPrice_1;1.09;2;51;72;3180;25;38774;109.0
11.02.2019;bf08894b-9152-4564-9865-1d25016c7ec3;24206;HardСurrency_1;3.49;44;2154;3874;6933;516;1350008;550.0
13.02.2019;65a520b7-b7dd-456d-a2ba-a06f439af814;10038;PP_ClubPass;4.49;22;2830;4936;6731;652;360155;456.0
13.02.2019;f2392c83-66b7-4e4c-b826-9830fb33b068;1576;PP_EliteBattlePass;5.49;4;6;6;590;0;3055;394.0
02.02.2019;d6c5a71b-3ed9-471a-8382-ba56b03dce87;6939;PP_ClubPass;4.49;11;425;671;6163;168;412501;630.0
02.02.2019;ec6d1acd-63a6-4607-b973-30f72cccc3bb;2045;PP_ClubPass;4.49;5;576;1042;6192;534;187449;409.0
03.02.2019;96a77e7c-0c9a-4323-bc10-34f14ff70133;16360;PP_EliteBattlePass;5.49;30;3972;7400;6562;554;2502872;545.0
03.02.2019;57bceab5-98d9-4c90-813f-5acfda9de83d;3673;PP_EliteBattlePass;5.49;7;218;421;5100;118;56851;524.0
14.02.2019;0a17fd74-dfd3-409f-b609-f139809eaead;109;SoftСurrency_RealPrice_1;1.09;1;0;0;0;0;213;109.0
14.02.2019;996ce217-2853-4ecd-b8ef-38f622145cc0;13964;SoftСurrency_RealPrice_1;1.09;16;157;232;5095;59;105922;872.0
11.02.2019;aaaa7855-373e-432c-a64d-e88182a84b82;4347;HardСurrency_1;3.49;3;77;141;3725;41;62965;1449.0
11.02.2019;39c006d2-2515-48cb-a399-8229fb664f9e;150622;HardСurrency_1;3.49;158;3739;6415;6895;395;2563491;953.0
11.02.2019;6e3d4e5d-8b8d-4866-b70a-2b3fdb812e99;19507;SoftСurrency_RealPrice_1;1.09;43;680;1378;5027;158;111128;453.0
13.02.2019;07abd1cc-77b6-4233-b66e-41fa9390bbbd;109;SoftСurrency_RealPrice_1;1.09;1;0;0;0;0;94;109.0
02.02.2019;cba2eef7-f41f-4e6d-b28d-619e13adf397;263362;HardСurrency_1;3.49;238;13717;20635;7863;725;601056;1106.0
11.02.2019;bf317573-5547-418a-954e-ad0869dae78f;1456;PP_EliteBattlePass;5.49;4;59;67;3660;1;33760;364.0
11.02.2019;bdd2212e-e901-439c-8ff7-532b15956e7e;22199;PP_EliteBattlePass;5.49;11;264;418;5905;43;184289;2018.0
11.02.2019;e32e291e-4685-4d10-afc8-bb2dc3b7bf8c;349;HardСurrency_1;3.49;1;89;135;3707;738;219;349.0
11.02.2019;7059257e-a6e1-4b72-ad76-b8c258f8a11c;237044;PP_EliteBattlePass;5.49;146;8103;11219;9999;729;3358920;1623.0
16.02.2019;2067c87b-96e9-4604-8853-89ae8ad7831c;468211;SoftСurrency_RealPrice_1;1.09;189;8789;12604;8893;741;690347;2477.0
16.02.2019;c4d4d13d-afc1-43b6-b5dd-6f4bad9b6048;12792;HardСurrency_1;3.49;8;215;370;5526;332;97995;1599.0
13.02.2019;e1b1333e-f221-47ea-91ba-55fabf038415;119633;PP_EliteBattlePass;5.49;147;4225;6200;7246;280;3114519;813.0
13.02.2019;2086e9eb-8d9b-4486-95e2-e20517a4d7b6;66651;PP_EliteBattlePass;5.49;69;485;776;6718;237;1787592;965.0
09.02.2019;52df7d58-0efe-4802-8c01-ad678a920d91;16757;PP_EliteBattlePass;5.49;33;1690;3242;5923;168;1306660;507.0
01.02.2019;e1d4ea3b-425a-4db4-9d19-8498c4d6acca;138104;PP_EliteBattlePass;5.49;156;634;1005;7186;314;736452;885.0
14.02.2019;b339d322-88bf-41ac-82a0-3ec1e3933c3b;349;HardСurrency_1;3.49;1;45;48;3140;361;23325;349.0
02.02.2019;8622c9f1-a31f-4ba8-ab8a-866c52838f6c;578;HardСurrency_1;3.49;2;47;68;3005;10;19243;289.0
02.02.2019;f499ac6f-587a-4e95-bd00-682a5180f908;23671;PP_ClubPass;4.49;29;1955;3741;6027;721;370362;816.0
02.02.2019;1be9c2a8-965e-4067-9d7e-2b1e3d380e99;23560;PP_EliteBattlePass;5.49;40;8123;11221;8575;724;1391104;589.0
03.02.2019;80175521-28cf-4129-ae3e-98804fd37e2c;56390;HardСurrency_1;3.49;60;475;823;5860;34;170007;939.0
11.02.2019;aa301ec2-4904-430b-80dd-5271f6ebac8b;144280;PP_EliteBattlePass;5.49;50;378;650;6018;128;211022;2885.0
12.02.2019;6f0a818b-a712-47a7-9f49-4924a5f88bed;37303;PP_EliteBattlePass;5.49;47;5982;9026;8645;313;2253150;793.0
12.02.2019;22bc1c40-e5b3-4c40-8beb-3e831f86a1a5;1456;PP_ClubPass;4.49;4;537;905;6141;41;184926;364.0
11.02.2019;b10921c0-2a90-4e41-8865-cbd14d19a595;2126;PP_ClubPass;4.49;4;77;138;3765;3;54200;531.0
14.02.2019;4c3abb70-5167-4b3c-95cb-d7e0661b32cc;521364;PP_EliteBattlePass;5.49;236;6441;10186;7476;629;2394777;2209.0
12.02.2019;ef6437b5-7b72-4f05-bd55-fc97ffbde47f;4031;PP_EliteBattlePass;5.49;9;295;491;5590;30;104921;447.0
14.02.2019;c9f8889f-3edb-4b0a-8fdf-ac8b40ed8bb3;10117;PP_EliteBattlePass;5.49;23;852;1687;5514;165;1592026;439.0
02.02.2019;5018cd7a-9f79-48ee-9755-c9c5a26ae090;2246;PP_ClubPass;4.49;4;1426;2531;6582;452;668;561.0
02.02.2019;732f21ee-5395-42af-a640-bf75945ab742;22722;PP_ClubPass;4.49;8;467;781;6060;171;304564;2840.0
09.02.2019;17f7884e-a765-4f07-a223-6290e6c4ac59;234945;HardСurrency_1;3.49;165;11258;17190;7570;568;5724694;1423.0
14.02.2019;716f40ab-27c4-4298-9d3a-48e1852596b9;209495;PP_EliteBattlePass;5.49;85;8483;13625;7610;590;502075;2464.0
11.02.2019;48a7bd0e-b8eb-4a1b-9484-39372d8dd1a1;345731;PP_EliteBattlePass;5.49;169;2393;3780;9437;270;1401024;2045.0
02.02.2019;e8bf5d7d-0fd0-4390-a09c-04f44277c531;35960;PP_ClubPass;4.49;20;684;1377;5630;33;482466;1798.0
02.02.2019;cac9e5bf-ae03-43a8-a24c-9a6304c81fdf;144797;PP_EliteBattlePass;5.49;123;2602;5052;6110;485;27969;1177.0
13.02.2019;c798bc08-654f-49bf-9887-bb6b94cefb30;8492;HardСurrency_1;3.49;8;55;77;3330;342;42570;1061.0
13.02.2019;9a88d8b3-593a-4374-9c9a-04e042e1df6b;449;PP_ClubPass;4.49;1;886;1488;6820;175;37772;449.0
14.02.2019;45b2d3f2-500f-47dd-9255-6d8c8b717a7f;55355;PP_EliteBattlePass;5.49;25;1052;1736;8013;125;753;2214.0
14.02.2019;2d8acd25-258d-4880-abea-aa8685596a48;2584;PP_EliteBattlePass;5.49;6;70;109;3655;6;49780;430.0
11.02.2019;6cb149ef-d5f3-4ba0-92ef-30b56e0dda62;295115;PP_ClubPass;4.49;365;11967;16871;7827;459;2639413;808.0
11.02.2019;c1b9f245-baa8-44e3-8e9b-6112d42d2ee0;66765;PP_EliteBattlePass;5.49;65;1377;2241;7484;150;1758420;1027.0
12.02.2019;c0c3e2ab-4f1f-4a05-8a16-725e5ea10200;29433;PP_EliteBattlePass;5.49;17;2242;4805;5985;195;918277;1731.0
05.02.2019;05a740b2-c803-4683-817f-1152c0eab8ad;1556;PP_ClubPass;4.49;4;84;92;4525;557;39608;389.0
12.02.2019;9dd1e0ea-e84c-4983-a7bf-bf5dd1d0849a;16157;PP_EliteBattlePass;5.49;23;3175;5824;6188;213;1952189;702.0
12.02.2019;4cb3b491-e974-49a8-bc75-6998e631212d;1098;PP_EliteBattlePass;5.49;2;178;268;5260;31;137181;549.0
12.02.2019;4c1ed2b2-f423-4c6a-9310-80962b008649;31290;PP_EliteBattlePass;5.49;20;2150;4696;5844;195;424332;1564.0
12.02.2019;f9a022b5-e5b9-479a-b111-26d928a4adc4;114112;SoftСurrency_RealPrice_1;1.09;118;3428;5465;8459;371;396245;967.0
11.02.2019;678a4f43-7183-4dd6-8383-046f8e38579c;1896;PP_EliteBattlePass;5.49;4;1233;2030;7015;67;1343734;474.0
15.02.2019;96fa528a-f6e2-4635-aee5-559d220055fe;9331;PP_ClubPass;4.49;19;3222;5507;6421;726;918363;491.0
12.02.2019;49a202fd-c506-4a42-b292-94a947909e4e;35355;HardСurrency_1;3.49;55;948;1535;7506;109;11202;642.0
12.02.2019;c530592e-4a5a-4405-9eff-91ce836cb210;26909;PP_EliteBattlePass;5.49;41;5010;8045;7366;299;3546397;656.0
15.02.2019;1befa51c-5440-420a-891c-69f33f8910a4;412136;PP_EliteBattlePass;5.49;194;2020;3032;7658;250;43579;2124.0
03.02.2019;d165dd75-2528-49e2-aaf0-c2b7cdf4378d;687;SoftСurrency_RealPrice_1;1.09;3;54;109;3020;138;18803;229.0
03.02.2019;a48fc5f7-871f-4fff-8c4b-6d39e92b5f06;2903;SoftСurrency_RealPrice_1;1.09;7;16;17;1440;1;8593;414.0
12.02.2019;16f530ed-5619-440d-818d-06c89a01f8ca;449;PP_ClubPass;4.49;1;2;2;200;0;1215;449.0
12.02.2019;a94b01ec-67d7-4729-9108-ffcb4b3097c3;144656;PP_EliteBattlePass;5.49;74;2519;4031;7501;175;1961941;1954.0
02.02.2019;36825c02-0fc0-4e49-aa06-2f551e824233;549;PP_EliteBattlePass;5.49;1;119;176;4835;21;96868;549.0
02.02.2019;2492790a-f0d3-4fbc-8ab6-483cf063a9a9;18380;HardСurrency_1;3.49;40;5693;8992;7500;719;5252888;459.0
02.02.2019;9c65f186-4e93-4779-99cf-322132fc94e3;4377;SoftСurrency_RealPrice_1;1.09;13;306;511;5824;78;279982;336.0
03.02.2019;7396b369-63d1-439d-8ded-25171a600e90;32105;PP_EliteBattlePass;5.49;25;2992;5041;6507;362;3268408;1284.0
03.02.2019;ae9e2698-214c-4332-bd91-56bcbdf9e9b5;109;SoftСurrency_RealPrice_1;1.09;1;37;68;2470;26;4834;109.0
17.02.2019;1d408917-5f8c-4dbd-a8b3-395b32f1a9aa;549;PP_EliteBattlePass;5.49;1;219;424;5200;357;192853;549.0
11.02.2019;f30f5c6f-9872-486c-8ec8-2e484b9c996c;349;HardСurrency_1;3.49;1;56;83;3355;10;30412;349.0
11.02.2019;f4580554-b0ed-4900-b69d-400282ee18be;1693533;HardСurrency_1;3.49;537;24607;33213;8883;677;3178362;3153.0
02.02.2019;d5699a2c-94b7-47b1-9864-351bc502fdd6;1694;PP_EliteBattlePass;5.49;6;199;297;5544;29;114166;282.0
12.02.2019;f998fe68-2f4e-40ce-a822-fab5976707e4;14898;PP_EliteBattlePass;5.49;32;773;1512;5325;98;740885;465.0
12.02.2019;8d38fd82-c352-4813-9d9f-10de8227e25e;42677;PP_EliteBattlePass;5.49;53;8444;12946;7904;478;4773060;805.0
12.02.2019;70095008-5a99-41d0-971c-15e9c9650391;2345;PP_ClubPass;4.49;5;788;1575;6024;682;20408;469.0
02.02.2019;e2efc2c7-8b7e-4b40-b1cb-f36df4782cad;7701;PP_ClubPass;4.49;9;314;499;5935;36;201610;855.0
02.02.2019;c0ac47d3-732f-4fc9-aadd-ae7d16877a89;4253;PP_EliteBattlePass;5.49;7;230;372;5775;556;110075;607.0
03.02.2019;9442a8c8-724c-4129-b222-35c66b37000f;109;SoftСurrency_RealPrice_1;1.09;1;1;1;100;0;856;109.0
12.02.2019;ca9b2746-2bd5-4962-90f6-0a0eb7404fbf;887;PP_EliteBattlePass;5.49;3;43;46;3030;5;22937;295.0
12.02.2019;fa20dc15-1947-476c-92d2-97363eff40ea;44962;PP_EliteBattlePass;5.49;78;5020;7295;9132;724;512027;576.0
12.02.2019;fbcb24f9-183d-4e0e-bad4-a847c3f0f253;31787;SoftСurrency_RealPrice_1;1.09;63;972;1587;6575;93;227498;504.0
12.02.2019;0e2d41ef-ee59-43ea-b1f1-997de468582e;7183;SoftСurrency_RealPrice_1;1.09;27;165;247;5355;47;138221;266.0
12.02.2019;fe056542-70a5-485f-9b95-da04e986c071;15222;PP_EliteBattlePass;5.49;18;339;522;6172;24;41294;845.0
17.02.2019;06895975-47b0-4c1f-8fa8-95a09950b3d3;1327;PP_EliteBattlePass;5.49;3;56;66;3574;739;30150;442.0
02.02.2019;021cbbcb-7754-4086-a490-741dcbaa3ffe;449;PP_ClubPass;4.49;1;5;5;500;51;2471;449.0
03.02.2019;b8c90dbc-d5c9-4c1b-b3a3-83a23db7396b;26125;PP_ClubPass;4.49;25;1811;2326;9662;280;936252;1045.0
14.02.2019;825ec853-36d5-43e2-9c5b-a0a4b75d758b;10540;PP_EliteBattlePass;5.49;20;605;1009;6533;155;400499;527.0
14.02.2019;7a5627e0-f607-4e02-82df-74a82b24a892;40722;PP_EliteBattlePass;5.49;28;448;687;6666;160;197881;1454.0
11.02.2019;25aaaab0-fbcd-4e7c-a578-cc5b1287d7e5;10984;PP_EliteBattlePass;5.49;16;1543;3049;5401;102;1823256;686.0
12.02.2019;1a5fc848-9615-43fe-8a88-faa87a94dbbd;109039;HardСurrency_1;3.49;121;1835;2873;7591;677;1737516;901.0
02.02.2019;e9a8af57-cf77-4edf-9823-23ed9a37a409;2023;PP_EliteBattlePass;5.49;7;73;85;4090;15;37063;289.0
01.02.2019;9af5fc8d-a00a-47ba-bf5b-ed42cdd7b556;5492;PP_EliteBattlePass;5.49;8;1294;2449;6110;585;1005343;
01.02.2019;1065a820-1201-46fa-8a3c-4a9c676f752b;905;SoftСurrency_RealPrice_1;1.09;5;84;102;4300;33;76793;181.0
01.02.2019;d2adde08-1cb5-4a01-9ebe-cc31a8d21225;344723;HardСurrency_1;3.49;97;3345;5416;7942;139;2141690;3553.0
01.02.2019;59a428d2-a2e2-4b37-9aa5-bf4eacd526b1;449;PP_ClubPass;4.49;1;4;4;400;0;2134;449.0
14.02.2019;1b8d6ed7-4d25-4aa9-bf37-db71b127da48;31570;PP_ClubPass;4.49;60;4922;7427;8084;659;401748;526.0
14.02.2019;9dfb1f1e-d7f7-4de9-aef0-731d909f9f26;56211;PP_EliteBattlePass;5.49;69;1237;2135;6429;643;161808;814.0
02.02.2019;bcc8a93d-9503-4165-a80e-6b9514c1a72c;1227;PP_EliteBattlePass;5.49;3;937;1615;5984;547;75189;409.0
02.02.2019;46c8c0df-cfcc-4436-82da-3ae11b879496;11109;PP_EliteBattlePass;5.49;11;50;56;3325;9;64723;1009.0
02.02.2019;2232ecd7-7b1d-42d8-a586-41012fb69e46;1297;HardСurrency_1;3.49;3;290;516;5470;717;257471;432.0
14.02.2019;c4b8ee42-b696-464f-a8f2-be0d934e972c;4709;PP_ClubPass;4.49;11;532;798;6763;74;429484;428.0
14.02.2019;8f72227f-81b4-47b0-a7e5-6879425d6e51;42136;PP_EliteBattlePass;5.49;64;9856;15771;7539;738;6823986;658.0
09.02.2019;c3024ad6-f644-4d91-b4b0-67c1e09f71d1;105119;PP_EliteBattlePass;5.49;100;14573;18591;8918;679;7620315;1051.0
17.02.2019;29a119b6-dc6e-4a77-9476-d2238b8c1d4c;10594;PP_EliteBattlePass;5.49;16;828;1328;7442;389;448671;662.0
17.02.2019;f2d1170a-f87c-4339-b4f1-996444b1dbc3;111059;HardСurrency_1;3.49;171;7609;10207;8687;647;4246556;649.0
16.02.2019;e06f60ca-d554-425f-a377-67e0eff80e1c;101619;PP_ClubPass;4.49;180;10425;15598;9123;714;5307292;564.0
09.02.2019;bf329a49-8b44-4ca6-bd83-33dd26926a52;1996;PP_EliteBattlePass;5.49;4;116;151;5010;1;58903;499.0
09.02.2019;85bf3f5e-21ef-488e-bc00-da865a190950;1596;HardСurrency_1;3.49;4;404;770;5175;49;288334;399.0
02.02.2019;f76604f9-81d7-4e95-a776-3f5c44d93780;2003;PP_EliteBattlePass;5.49;7;296;484;5869;38;26003;286.0
01.02.2019;21820d24-517a-4308-8483-159c9de2fc30;4623;HardСurrency_1;3.49;7;303;569;5190;371;663;660.0
01.02.2019;fb26c035-cf33-47d5-98aa-ac3c02a6a462;449;PP_ClubPass;4.49;1;143;213;5175;28;89941;
01.02.2019;9067263e-6d8a-492d-873d-2038e5ce08f7;55509;PP_EliteBattlePass;5.49;81;4911;7532;6529;667;2182803;
01.02.2019;69adfc1e-e224-4926-90fa-4685b8498dc0;76980;PP_EliteBattlePass;5.49;60;5656;10287;5561;512;52231;1283.0
17.02.2019;b882fa67-e597-4113-b15a-8d04fa526c9d;2346;PP_EliteBattlePass;5.49;4;46;58;3095;1;24222;586.0
03.02.2019;e846c357-deff-41c8-b2c9-0c0692bc8b37;8985;PP_EliteBattlePass;5.49;15;34;41;2650;228;27625;599.0
12.02.2019;fbe3ad24-4134-4b0e-98bf-a1722b3f0c60;2114;PP_EliteBattlePass;5.49;6;86;106;4360;19;67467;352.0
14.02.2019;72fdc7d0-ca05-463f-b1c9-f0723e5301fe;8851;PP_EliteBattlePass;5.49;9;1307;2545;5620;39;854735;983.0
15.02.2019;8b0d0c08-3860-45d1-8e21-43f065cd19b8;898;PP_ClubPass;4.49;2;4;4;400;0;1756;449.0
15.02.2019;7047c802-c6a4-432d-b90b-440726cadc7d;61124;HardСurrency_1;3.49;36;32;35;2502;27;51808;1697.0
17.02.2019;29340b3e-c85c-4ddb-b5aa-07a73867d904;23633;PP_EliteBattlePass;5.49;37;1084;1996;6318;152;1295497;638.0
17.02.2019;a3009df6-6294-4003-bc2f-916043088ba5;61186;HardСurrency_1;3.49;94;2452;4173;6406;323;1353900;650.0
17.02.2019;37baad7b-9812-4646-b674-f1f079154965;1905;HardСurrency_1;3.49;5;232;372;5501;772;148153;381.0
03.02.2019;66d7ffe2-87e6-4598-8353-a6a601a4218b;8236;PP_ClubPass;4.49;14;936;1580;7510;676;241892;588.0
03.02.2019;62e87ff8-78e0-4ceb-b564-ff5affb08cc1;405637;PP_ClubPass;4.49;253;3577;6109;8328;321;42576;1603.0
03.02.2019;e0ecd1f0-373d-4bc0-9a02-3ebe055fb9f9;50431;HardСurrency_1;3.49;19;204;376;5010;468;1888;2654.0
